algorithm,num_envs,layout,seed,kind,path,bytes,config_path,config_env,config_model,random_reset,check_held_out,heldout_random,config_layouts,total_timesteps,rollout_steps,xp_partner,status,update_steps,parameter_count,conv_shapes,params_sha256
IPPO,64,empty,98,final,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-102756/seed98_ckpt0_improved_updates15625.pkl,7495257,outputs/2026-08-18/10-27-56/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,15625,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",99259236fa9d7bd2c6f64ed935647aad2fa04e2bcf39b95e75466ef68f08ba99
IPPO,64,empty,98,progress_100,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-102756/seed98_progress_100.pkl,7494613,outputs/2026-08-18/10-27-56/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,15625,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",99259236fa9d7bd2c6f64ed935647aad2fa04e2bcf39b95e75466ef68f08ba99
IPPO,64,empty,98,progress_33,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-102756/seed98_progress_33.pkl,7494613,outputs/2026-08-18/10-27-56/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,5209,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",812d95df19c9b330a766bfd0e835cbea1db92776d09dd82c16bbd739f241fe0e
IPPO,64,empty,98,progress_67,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-102756/seed98_progress_67.pkl,7494613,outputs/2026-08-18/10-27-56/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,10417,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",82b906c96409abd8fbee1c898591b3739e44362734188ca27b596eb02c6c41e7
IPPO,64,empty,0,final,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-174434/seed0_ckpt0_improved_updates15625.pkl,7495257,outputs/2026-08-18/17-44-34/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,15625,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",112d20d4556e10dfac20087eb4c0181ae8a31cbf7cdcb24a0b048eb43ddd4c20
IPPO,64,empty,0,progress_100,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-174434/seed0_progress_100.pkl,7494613,outputs/2026-08-18/17-44-34/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,15625,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",112d20d4556e10dfac20087eb4c0181ae8a31cbf7cdcb24a0b048eb43ddd4c20
IPPO,64,empty,0,progress_33,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-174434/seed0_progress_33.pkl,7494613,outputs/2026-08-18/17-44-34/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,5209,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",03a12e744afbac3530995618019551b77d9e515bd3e0f0815612a6d7d047e426
IPPO,64,empty,0,progress_67,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260818-174434/seed0_progress_67.pkl,7494613,outputs/2026-08-18/17-44-34/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,10417,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",89d32e528124ca9b54f400844ab814db4cf296b328625d8c1864ae63cabcc348
IPPO,64,empty,1,final,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260819-010502/seed1_ckpt0_improved_updates15625.pkl,7495257,outputs/2026-08-19/01-05-02/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,15625,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",7731d3c83320b3ed1593b961e7765c965a3ca90bd51312709de31de7e77fd615
IPPO,64,empty,1,progress_100,ckpts/ippo/ToyCoopNoPink/modified_wall/empty/ikFalse/reset_all/ippo_layout_eval/lr-20260819-010502/seed1_progress_100.pkl,7494613,outputs/2026-08-19/01-05-02/.hydra/config.yaml,ToyCoopNoPink,IPPO_baseline,False,False,100,"[""empty"", ""wall_a""]",100000000.0,100,98,OK,15625,1873190,"{""/params/Conv_0/kernel"": [2, 2, 4, 64], ""/params/Conv_1/kernel"": [2, 2, 64, 32]}",7731d3c83320b3ed1593b961e7765c965a3ca90bd51312709de31de7e77fd615
